Geneset,Down_Total_DE,Down_Total_In_Set,Down_Total_DE_In_Set,Down_Pvalue,Down_Odds,Down_DEGenesInSet
miR-27abc/27a-3p,711,888,96,0.00114793642852918,1.42944542534067,Sema7a;Ikzf2;Ppm1e;Fosb;Spry1;Slc7a11;Sept11;Lox;Nfatc1;Nfkbid;Lpar6;Xkrx;Pitpnm2;Mitf;Tspyl5;Spry2;Aqp11;1810011O10Rik;Sub1;Zfp516;Prkaa2;Zbtb10;Ptprj;Adgrl2;Pknox2;Pappa;Pank1;Hivep2;Cd28;Tox;Nln;Ntn1;Med14;Hapln1;Fam222a;Ube2v1;Gria4;Atp2b1;Pde3a;Sh3rf1;Gab1;Pde1a;Fzd3;Grm5;Arx;Fgd6;Ikzf1;Sox8;Bend4;Tbkbp1;Prr3;C77370;Cemip;Lpin2;Ephb2;Lonrf1;Tmprss11f;Ebf3;Vangl1;Shc4;Csf1;Fam91a1;Srrd;Adgrg6;Fbxw7;Pappa2;Smoc2;Smad9;Fgf1;Gria3;Nfasc;Six1;Gatad2a;Glipr2;Sema6d;Nav1;Sdpr;Dcc;Nek6;Mmp16;Nap1l2;Cnr1;Acta2;2010300C02Rik;Sema3b;Rnf207;Peak1;Shb;AI846148;Chst2;Galnt3;Fam196a;Chrm1;Zfp704;Foxp2;Tead1
miR-143/1721/4770,711,220,30,0.0016906748336691,1.82103780552885,Ppm1e;Dennd4c;Nfatc1;Psd3;Rbm24;Mboat2;Asap3;Phf6;Ttpa;Hdac7;Igfbp5;A1cf;Ptpn14;Dgkb;Dnajc3;Lmo4;C77370;Esrrg;Fscn1;Maf;Arhgap26;Fam91a1;Cachd1;Fgf1;Fam117a;Cacna1e;Phactr4;Htr2c;Fam196a;Kcnc1
miR-192/215,711,95,15,0.00384670842390396,2.1454887082469,Frmd4b;Crb2;Alcam;Zeb2;Arhgap36;Col5a1;Adgrg6;Sh2d2a;Dcc;Galntl6;Sh3rf3;Cbl;Fam229b;Igdcc3;Ctnnbip1
miR-410/344de/344b-1-3p,711,458,49,0.018151316500544,1.38185023106332,Cxcr4;Bcl2l11;Fosb;Dgkg;Tec;Fmnl2;Mapre2;Nr4a2;Smoc1;Zfp516;Chd1;Phf6;Adgrl2;Mpped2;Pappa;Elf1;Ntn1;Ccdc175;Grhl3;Mafb;Sort1;Whrn;Bend4;Igsf3;C77370;Cntnap1;Foxd3;Dip2a;Maf;Csf1;Zswim6;Fzd5;Pappa2;Ube2i;Larp6;Lrrc71;Igf2bp1;Dcc;Sh3rf3;Ezr;Gpr137b;Phf19;D16Ertd472e;St18;Tbx20;Elavl4;Foxp2;Tead1;Ctnnbip1
miR-339b/339-5p/3586-5p,711,112,15,0.0183615057112771,1.76576065255852,Bcl6;Egln3;Bcl2l11;Slc7a11;Fbxo30;Myo1c;Shisa7;Celf2;Nck2;Arhgap36;1190002N15Rik;Nfasc;Podxl;Apba1;Fam196a
miR-300/381/539-3p,711,622,63,0.0266933181784428,1.30193231071559,Ikzf2;Bcl2l11;Spry1;Arap2;Basp1;Jup;Sept11;Fmnl2;Mapre2;Frmd4b;Mitf;Rbm24;Smoc1;Sub1;Chd1;Etnk1;Adgrl2;Camta1;Rbpj;Zswim4;Hivep2;Hes1;Fat3;Med14;Celf2;Nkx2-9;Grhl3;Zic1;Crispld1;Lin28a;Fzd3;Grm5;Arx;Lmo4;Grm1;C77370;Frs2;Ano1;Foxd3;Esrrg;Tns1;Rapgefl1;Ebf3;Tgfb3;Klf4;Nfasc;Slc6a8;Gatad2a;Zfp521;Abi3bp;Sema6d;Id4;Wnt5a;Dcc;Fam117a;Phactr4;Apba1;AI846148;Dclk3;Tcf3;St18;Adgrg2;Foxp2
miR-128/128ab,711,784,77,0.0314705539750217,1.26051184209235,Sema7a;Ikzf2;Ppm1e;Fosb;Slc7a11;Arpp21;Lox;Nfatc1;Bmf;Lpar6;Xkrx;Pitpnm2;Mapre2;Spry2;1810011O10Rik;Zfp516;Rasgef1b;Clic4;Mpped2;Pappa;D430041D05Rik;Pank1;Ngp;Nln;Fat3;Med14;Hapln1;Fam222a;Ube2v1;Atp2b1;Pde3a;Sh3rf1;Lin28a;Pde1a;Fzd3;Grm5;Arx;Fgd6;Tacc1;Ikzf1;Npr1;Dvl2;Bend4;Igsf3;Cemip;Ntrk3;Ephb2;Lonrf1;Vangl1;Shc4;En1;Csf1;Fam91a1;Srrd;Adgrg6;Fbxw7;Smad9;Fgf1;Gria3;Klf4;Mapk6;Gatad2a;Syt7;Glipr2;Sema6d;Jchain;Itpkc;Dcc;Nek6;Mpp2;Cnr1;Acta2;Ldlrad3;Peak1;Galnt3;Zfp704;Foxp2
miR-543,711,431,45,0.0323056921081087,1.34061942119316,Als2;2700081O15Rik;Sept11;Ctsl;Fmnl2;Fos;1810011O10Rik;Rbpj;Asxl3;Tox;Celf2;Fam222a;Zic1;Nck2;Efr3b;Raph1;Fzd3;Grm5;Arx;Ttbk1;Bend4;Ttll7;Col16a1;Lpin2;Foxd3;Fgf12;Mlf1;Maf;Chn1;Col5a1;Id4;Aqp4;Dcc;Fam117a;Dlx1;Arhgef2;Rassf10;Apba1;Zfp503;Peak1;Kcnc1;Elavl4;Zfp704;Foxp2;Tead1
miR-29abcd,711,788,76,0.0461344100693722,1.23261373857235,Ppm1e;Spry1;Nebl;Lox;Bmf;Dusp2;Camk4;Pitpnm2;Mapre2;Adam12;Fos;Mllt11;Emid1;Zbtb10;Camta1;Pknox2;Asxl3;Fam167a;Trp53inp2;Gpx7;D430041D05Rik;Hapln1;Celf2;Mafb;Kctd5;Lamc1;Crispld1;Palm;Col4a2;Raph1;Ppp1r15b;Cx3cl1;Pvrl1;Clec3a;Zfp385c;Prr3;C77370;Frat2;Cemip;Ak3;Rapgefl1;Arhgap36;Spast;Mlf1;Metap2;Col5a1;Fzd5;Fbxw7;Col6a3;Wwtr1;Klf4;Syt7;Col6a2;Etv4;Nav1;Aqp4;Baiap2;Hmgn3;Sh3rf3;Rab15;Cnr1;Kif26b;Chmp6;Col24a1;Ldlrad3;Snrpc;Peak1;Hoxc13;D16Ertd472e;Slc6a2;Uhrf1bp1l;Ina;Elavl4;Zfp704;Pi15;Ctnnbip1
miR-145,711,445,45,0.0511797812451849,1.29134109368117,Ikzf2;Colq;Slc7a11;Rnf216;Lox;Tmod1;Trio;Psd3;Nr4a2;Zfp516;Zfp423;Zbtb10;Etnk1;Grb10;Epb41l5;Cd28;Nrip3;Tagln2;Coro2b;Pvrl3;Raph1;Pvrl1;Sult1a1;Fscn1;Ebf3;Maf;Arhgap26;Zswim6;Cachd1;Klf4;Fgf10;Map3k11;Zfp521;Podxl;Nav1;Arhgap24;Sh3rf3;Vasn;Adamts5;Ldlrad3;Inhbb;Elavl4;Zfp704;Csn2;Ctnnbip1
miR-216a,711,147,17,0.0512147521833978,1.49131840266672,Myo1c;Zfp423;Gabra1;Celf2;Lamc1;Cd93;Sorbs2;Cemip;Tnfrsf11a;Adgrg6;Fzd5;Kcnj14;Zfp521;Tcte1;Mmp16;Htr2c;Slc1a3
miR-140/140-5p/876-3p/1244,711,201,22,0.0584027638072477,1.4030808988264,Dusp16;Ctsl;Hdac7;Igfbp5;Egr2;Celf2;Ube2v1;Bend4;Igsf3;Cemip;Cdhr3;Lonrf1;Gdap1;Ube2i;Wnt1;Plekhg3;Adgrl4;Mpp2;Adamts5;Wnt9a;Foxp2;Tead1
let-7/98/4458/4500,711,844,80,0.0587009671155145,1.2082115905501,Rorc;Ikzf2;Slc9a9;Tnfaip3;Trib1;Dusp16;Angptl2;Smim3;Fbxo30;Psd3;Myo1f;Frmd4b;Pld3;Tspan2;Sub1;Zfp516;Meis3;Zmat4;Prkaa2;Zbtb10;Etnk1;Ralb;Rbpj;Sec16b;Pappa;Cap2;Pak1;Socs1;Ntn1;Gcnt4;Scn4b;Crb2;Dusp4;Prkab2;Dzip1;Col4a2;Lin28a;Fzd3;Ppp1r15b;Fgd6;Sema4g;Nat8l;Plekhg6;Thrsp;Sh2b3;Bend4;Adrb3;Tbkbp1;Polr3d;Frs2;Tmprss11f;Igf2bp2;Reep1;Osmr;Cdv3;Tnfaip8l3;Mapk6;Syt7;Wnt1;Fam214b;Nhsl2;Nme4;Aqp4;Panx2;Igf2bp1;Cacna1e;Baiap2;Rab15;Apba1;Adamts5;Col24a1;Peak1;AI846148;Pbx3;Fbxl12;Igdcc3;Wnt9a;Kcnc1;Foxp2;Tor1aip2
miR-191,711,44,6,0.0622398393167035,1.79312629368842,Mapre2;Fzd5;Dlx1;Tlx3;Nrcam;Tor1aip2
miR-182,711,803,76,0.0652174264431275,1.20471218109395,Myb;Hecw2;Ppm1e;Rab19;Mitf;Cbarp;Myo1c;Csnk1e;Adgrl2;Atat1;Camta1;Grb10;Asxl3;Fam167a;Trp53inp2;Chst11;Tox;Hes1;Fat3;Gcnt4;Med14;Rab34;Celf2;Vat1;Sort1;Lonrf2;Fzd3;Sept7;Kif19a;Grm5;Ppp1r15b;Tacc1;Tbr1;Ikzf1;Nat8l;Tnk2;Rgs2;Bend4;Igsf3;C77370;Frs2;Esrrg;Clvs1;Lmtk3;Tns1;Ebf3;Shc4;Adam22;Reep1;Col5a1;Cdv3;Fam91a1;Fbxw7;Kcnj14;Sh3bp4;1190002N15Rik;Sowahb;Gria3;Nfasc;Plod2;Glipr2;Podxl;Bcl2l12;Mgat4c;Amph;Igf2bp1;Igsf10;Ezr;Dab1;Tmem198;Nrcam;Limch1;Elavl4;Zfp704;Foxp2;Tead1
miR-342-3p,711,173,19,0.0678816165523201,1.40681457802375,Sept11;Fbxo30;Plcl1;Prkaa2;Pak1;Fam222a;Ptpn14;Bend4;Zeb2;Csf1;Fgf1;Fgf10;Tcte1;Cst6;Flnc;Nhsl2;Id4;Sh2b1;Adgrg2
miR-374ab,711,455,45,0.0690144259092758,1.25820307881587,Ikzf2;Fosb;Gadd45a;Mapre2;Adam12;Nr4a2;Spry2;Zfp423;Adgrl2;Sap30;Pappa;Hivep2;Kansl1l;Hes1;Nln;Dennd4a;Ntn1;Hapln1;Metrnl;Synpo2;Tacc1;Bend4;Zeb2;Ttll7;Frs2;Cemip;Foxd3;Esrrg;Ebf3;En1;Spast;Zswim6;Fzd5;Pappa2;1190002N15Rik;Hr;Mapk6;Id4;Wnt5a;Lrrc71;Mpp2;Col24a1;Inhbb;Fam196a;Elavl4
miR-377,711,323,33,0.0694136643063561,1.30152495197411,Cd24a;Sept11;Fbxo30;Zfp516;Prkaa2;Dnajc6;Phf6;Ptprj;Camta1;Cap2;Egr2;Celf2;Lamc1;Cd93;Mvb12b;Rgs2;Dmtn;Zeb2;Ttll7;Reep1;Arhgap26;Cst6;Glipr2;Flnc;Wnt5a;Mmp16;Apba1;D16Ertd472e;Bambi;Zfp704;Vstm2a;Adarb1;Tead1
miR-539/539-5p,711,390,39,0.0721278061329115,1.27211679009076,Ikzf2;Ppm1e;Basp1;Sept11;Angptl2;Mapre2;Mitf;Adam12;Nr4a2;Chst15;Zmat4;Pknox2;Sec16b;Nrip3;Gcnt4;Med14;Celf2;Synpo2;Trim42;Fzd3;Bend4;Grm1;Frat2;Frs2;Pdzrn4;Ebf3;Fam114a1;Nfasc;Zfp521;Cdnf;Nav1;Kcng3;Galntl6;Nrcam;Frmd7;Igdcc3;Wnt9a;Tbx20;Tead1
miR-384/384-3p,711,155,17,0.077482951844275,1.40346071711384,Slc7a11;Myo1c;Rasgef1b;Zmat4;Cd28;Crb2;Anp32e;Cd93;Metap2;Fzd5;Col6a3;Gfra2;Aqp4;Ldlrad3;Chst2;St18;Adarb1
miR-132/212/212-3p,711,262,27,0.0802637232871552,1.31182104343395,Colq;Spry1;Zfp516;Chd1;Cerk;Etnk1;Fam167a;Chst11;Hapln1;Gdf5;Cc2d1b;Arx;Sema4g;Zeb2;Olfm1;Maf;Zswim6;Fam91a1;Fbxw7;Dcc;Baiap2;Mmp16;Adamts5;Edil3;Dab1;Foxp2;Tead1
miR-203,711,517,50,0.0813488873905661,1.22742517131931,Ppm1e;Arntl;Psd3;Camk4;Camta1;Ralb;Sec16b;D430041D05Rik;Igfbp5;A1cf;Med14;Crb2;Ptprn2;Grhl3;Atp2b1;Mafb;Dgkb;Raph1;Anp32e;Postn;1110065P20Rik;Ociad2;Adgrg6;Smoc2;Hcar2;Ube2i;Gda;Map3k13;Id4;Plekhg3;Cav1;Klhdc9;Dcc;Rab15;Cbl;Rassf10;Phlda3;Adamts5;Lrp2bp;Rapgef1;Phf19;Chst7;Fam196a;Limch1;Kcnc1;Ina;Zfp704;Actl11;Foxp2;Csn2
miR-149,711,241,25,0.0819909920692996,1.32084432275396,Bcl2l11;Gfi1;Lox;Dusp16;Marcksl1;Zmat4;Igfbp5;Pou2f2;Sort1;Cdk17;Pde1a;Sema4g;Pvrl1;Them6;Lonrf1;Fzd5;Gria3;Syt7;Id4;Igf2bp1;Tbx22;Cbl;Vps9d1;Apba1;Zfp704
miR-875-5p,711,66,8,0.0843847131205916,1.56696442569246,Ppm1e;2700081O15Rik;Fgd6;Vamp1;Ebf3;Metap2;Zswim6;St18
miR-19ab,711,808,75,0.0924277058514945,1.17630802422296,Hecw2;Otud1;Bcl2l11;Fosb;Arap2;2700081O15Rik;Dgkg;Rnf216;Tnfaip3;Tgif1;Cep170;Bmf;Fbxo30;Psd3;Pitpnm2;Mapre2;Adam12;Tspan2;Edaradd;Runx3;Smoc1;Plcl1;1810011O10Rik;Zfp516;Zbtb10;Etnk1;Adgrl2;Camta1;Grb10;Asxl3;Mpped2;Cd69;Socs1;Fat3;Rab34;Ptpn14;Prom2;Raph1;Tacc1;Bend4;Zeb2;Igsf3;Polr3d;Ano1;Lonrf1;Rapgefl1;Fam114a1;Irx4;Smoc2;Arc;Sowahb;Mapk6;Slc6a8;Zfp521;Wnt1;Gda;Flnc;Nhsl2;Sema6d;Nav1;Vstm2b;Sh3rf3;Dlx1;Cnr1;Phlda3;Gpr137b;Inhbb;Fam196a;Limch1;Gja1;Tbx20;Bambi;Zfp704;Foxp2;Ldoc1
miR-326/330/330-5p,711,236,24,0.101662974754567,1.29072103532669,Runx3;Spry2;Myo1c;Fat3;Ntn1;Celf2;Nkx2-9;Ptpn14;Coro2b;Palm;Whrn;Tnk2;Glod5;Lpin2;Tnfrsf11a;Arhgap36;Fzd5;Nfasc;Igf2bp1;Cacna1e;Parva;1110017D15Rik;Ciita;Chrm1
miR-376abd/376b-3p,711,130,14,0.104686883476172,1.37288938550402,Bcl2l11;Celf2;Lamc1;Grm5;Bend4;Igsf3;Hes5;Rapgefl1;Wwtr1;Dcc;Galntl6;Slit2;Tbx20;Tead1
miR-324-5p,711,79,9,0.10529037515249,1.46053739393501,Hecw2;Basp1;Trp53inp2;Ube2v1;Camkv;Cuedc2;Esrrg;Kcnmb1;Nav1
miR-340-5p,711,943,86,0.106420046270346,1.15405687622788,Als2;Ikzf2;Hecw2;Eaf1;Tec;Tmod1;Fbxo30;Dusp2;Psd3;Slc43a1;Fmnl2;Rbm24;Nr4a2;Lysmd2;Plcl1;Spry2;Zfp516;Myo1c;Id3;Adgrl2;Camta1;Grb10;Pknox2;Asxl3;Mpped2;Angpt1;Hivep2;5430427O19Rik;Chst11;Ttpa;Fat3;Med14;Zfp518b;Gria4;Atxn7l2;Atp2b1;Sort1;Nck2;Mast3;Lamc1;Fzd3;Anp32e;Ppp1r15b;Alcam;Pvrl1;Syde2;Mpp3;Parm1;Sdc2;C77370;Ttll7;Frs2;Tns1;Myo1e;Zswim6;Fam91a1;Pappa2;Tom1l1;1190002N15Rik;Wwtr1;Mapk6;Slc6a8;Fam214b;Nhsl2;Adgrl4;Dcc;Pip5k1b;Tcf21;Sh3rf3;Vasn;Nod2;Zfp503;Edil3;Gpr137b;Fhl2;D16Ertd472e;Tmem198;Limch1;Coq10a;Elavl4;Zfp704;Pi15;Adarb1;Lhfpl3;Cntn3;Tead1
miR-9/9ab,711,945,86,0.110315813999264,1.15104903724979,Cxcr4;Bcl6;Ikzf2;Egln3;Hecw2;Bcl2l11;Jup;Slc7a11;Gch1;Arpp21;Psd3;Pitpnm2;Rbm24;Myo1c;Six5;Ptprj;Ralb;Asxl3;D430041D05Rik;Elf1;Hes1;Scn4b;Med14;Rab34;Hapln1;Ptpn14;Vat1;P2ry4;Sort1;Lyve1;Bean1;Col4a2;Lin28a;Dgkb;Cc2d1b;Arx;Alcam;Dnajc3;Mpp3;Eif4e3;Bend4;Zeb2;Sdc2;Cntnap1;Vamp1;Ano1;Clvs1;Ephb2;Tns1;Igf2bp2;Fgf12;Vangl1;Maf;Fam91a1;Smoc2;1190002N15Rik;Nfasc;Glipr2;Nhsl2;Sema6d;Nav1;Itpkc;Igf2bp1;Dcc;Galntl6;Fam117a;Cacna1e;Baiap2;Efna1;Mmp16;Arhgef2;Rassf10;Apba1;Adamts5;Ldlrad3;Peak1;Shb;Inhbb;Phf19;D16Ertd472e;Galnt3;Slc6a2;Zc3h10;Elavl4;Foxp2;Cntn3
miR-31,711,240,24,0.117024726485361,1.26617523977739,Slc7a11;Rab19;Tacc2;Mboat2;Grb10;Trp53inp2;D430041D05Rik;Cd28;Fat3;Raph1;Fzd3;Tacc1;Ikzf1;Syde2;Ttbk1;Bend4;Frat2;Tmprss11f;Tns1;Ebf3;Col5a1;Zswim6;Il34;Zfp704
miR-329/329ab/362-3p,711,197,20,0.119561097411207,1.28655636524479,Ikzf2;Csnk1e;Ptprj;Asxl3;Pappa;Trp53inp2;Pde3a;Rnf217;Rgs2;Esrrg;Fzd5;Tnfaip8l3;Tcte1;Lrrc71;Shb;Wnt9a;Kcnc1;Bambi;Elavl4;Cntn3
miR-592/599,711,145,15,0.128430198647179,1.31212178401017,Cd24a;Angptl2;Rbpj;Trp53inp2;Fat3;Pde3a;Fzd3;Tacc1;Ttll7;Zswim6;Nfasc;Map3k13;Baiap2;Foxp2;Ctnnbip1
miR-137/137ab,711,850,77,0.13194491345686,1.14250471146557,Ppm1e;Eaf1;Dgkg;Nt5dc2;Nfatc1;Rcor2;Cep170;Slc37a2;Angptl2;Fmnl2;Ppp1r14b;Ap3s1;Pitpnm2;Mitf;Tspan2;Rbm24;Cbarp;Zfp516;Myo1c;Chd1;Mboat2;Zmat4;Thegl;Atat1;Rbpj;Fam167a;Pappa;Hoxa3;Igfbp5;Fat3;Med14;Gabra1;Celf2;Ptpn14;Dusp4;Gria4;Trhr;Hk3;Cpne8;Pde1a;Grm5;Tbr1;Ikzf1;Nat8l;Pvrl1;Zeb2;Ppp1r37;Esrrg;Maf;Slc9a3r2;Fbxw7;1190002N15Rik;Ldlrad4;Klf4;Nfasc;Slc6a8;Syt7;Abi3bp;Stx1b;Pdlim3;Dclk2;Panx2;Hmgn3;2900026A02Rik;Sema3b;Ehbp1l1;Htr2c;Edil3;Gpr137b;D16Ertd472e;St18;Limch1;Frmd7;Kcnc1;Cttnbp2;Tead1;Mien1
miR-205/205ab,711,279,27,0.140929725302842,1.22067700863135,Bcl6;Eaf1;Slc7a11;Sept11;Psd3;Fbxo22;Casc4;Etnk1;Ptprj;Grb10;Elf1;Zfp518b;Lamc1;Bean1;Ppp1r15b;Col16a1;Esrrg;Chn1;Csf1;Map3k13;Nhsl2;Vasn;Ezr;Kif26b;Bambi;Tead1;Jph4
miR-146ac/146b-5p,711,141,14,0.169917084523143,1.25225969353446,Dgkg;Kdm2b;Cd28;Tmem120b;Celf2;Sort1;Bend4;Maff;Klf4;Nfasc;Igf2bp1;Mmp16;Vasn;Adarb1
